getter,peers,micros,payload,delay
1,100,100,32,34
1,100,100,32,37
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,35
1,100,100,32,35
1,100,100,32,36
1,100,100,32,39
1,100,100,32,46
1,100,100,32,36
1,100,100,32,35
1,100,100,32,40
1,100,100,32,36
1,100,100,32,33
1,100,100,32,35
1,100,100,32,40
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,38
1,100,100,32,37
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,39
1,100,100,32,34
1,100,100,32,39
1,100,100,32,38
1,100,100,32,36
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,35
1,100,100,32,37
1,100,100,32,38
1,100,100,32,38
1,100,100,32,38
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,34
1,100,100,32,32
1,100,100,32,34
1,100,100,32,39
1,100,100,32,35
1,100,100,32,38
1,100,100,32,37
1,100,100,32,33
1,100,100,32,37
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,38
1,100,100,32,33
1,100,100,32,36
1,100,100,32,39
1,100,100,32,36
1,100,100,32,39
1,100,100,32,34
1,100,100,32,39
1,100,100,32,38
1,100,100,32,39
1,100,100,32,37
1,100,100,32,38
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,36
1,100,100,32,34
1,100,100,32,37
1,100,100,32,37
1,100,100,32,37
1,100,100,32,39
1,100,100,32,37
1,100,100,32,38
1,100,100,32,36
1,100,100,32,34
1,100,100,32,38
1,100,100,32,39
1,100,100,32,34
1,100,100,32,39
1,100,100,32,39
1,100,100,32,37
1,100,100,32,35
1,100,100,32,34
1,100,100,32,37
1,100,100,32,36
1,100,100,32,36
1,100,100,32,38
1,100,100,32,38
1,100,100,32,37
1,100,100,32,33
1,100,100,32,33
1,100,100,32,39
1,100,100,32,34
1,100,100,32,37
1,100,100,32,36
1,100,100,32,37
1,100,100,32,35
1,100,100,32,39
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,39
1,100,100,32,39
1,100,100,32,37
1,100,100,32,34
1,100,100,32,37
1,100,100,32,38
1,100,100,32,38
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,37
1,100,100,32,35
1,100,100,32,37
1,100,100,32,38
1,100,100,32,37
1,100,100,32,41
1,100,100,32,35
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,39
1,100,100,32,37
1,100,100,32,34
1,100,100,32,38
1,100,100,32,35
1,100,100,32,35
1,100,100,32,33
1,100,100,32,38
1,100,100,32,35
1,100,100,32,40
1,100,100,32,36
1,100,100,32,34
1,100,100,32,35
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,36
1,100,100,32,38
1,100,100,32,40
1,100,100,32,35
1,100,100,32,39
1,100,100,32,39
1,100,100,32,37
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,37
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,37
1,100,100,32,33
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,38
1,100,100,32,39
1,100,100,32,37
1,100,100,32,36
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,34
1,100,100,32,34
1,100,100,32,37
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,37
1,100,100,32,41
1,100,100,32,39
1,100,100,32,39
1,100,100,32,37
1,100,100,32,37
1,100,100,32,37
1,100,100,32,33
1,100,100,32,36
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,37
1,100,100,32,39
1,100,100,32,34
1,100,100,32,38
1,100,100,32,38
1,100,100,32,34
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,36
1,100,100,32,35
1,100,100,32,34
1,100,100,32,39
1,100,100,32,34
1,100,100,32,40
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,37
1,100,100,32,39
1,100,100,32,37
1,100,100,32,34
1,100,100,32,44
1,100,100,32,36
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,35
1,100,100,32,34
1,100,100,32,38
1,100,100,32,35
1,100,100,32,40
1,100,100,32,33
1,100,100,32,37
1,100,100,32,33
1,100,100,32,41
1,100,100,32,34
1,100,100,32,37
1,100,100,32,37
1,100,100,32,35
1,100,100,32,33
1,100,100,32,38
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,38
1,100,100,32,36
1,100,100,32,33
1,100,100,32,37
1,100,100,32,33
1,100,100,32,39
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,39
1,100,100,32,37
1,100,100,32,36
1,100,100,32,33
1,100,100,32,37
1,100,100,32,40
1,100,100,32,37
1,100,100,32,35
1,100,100,32,40
1,100,100,32,35
1,100,100,32,36
1,100,100,32,40
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,32
1,100,100,32,35
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,38
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,34
1,100,100,32,39
1,100,100,32,34
1,100,100,32,32
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,39
1,100,100,32,37
1,100,100,32,38
1,100,100,32,33
1,100,100,32,36
1,100,100,32,35
1,100,100,32,33
1,100,100,32,37
1,100,100,32,33
1,100,100,32,35
1,100,100,32,35
1,100,100,32,35
1,100,100,32,34
1,100,100,32,34
1,100,100,32,38
1,100,100,32,39
1,100,100,32,38
1,100,100,32,36
1,100,100,32,39
1,100,100,32,38
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,39
1,100,100,32,34
1,100,100,32,35
1,100,100,32,41
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,35
1,100,100,32,39
1,100,100,32,36
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,33
1,100,100,32,32
1,100,100,32,33
1,100,100,32,32
1,100,100,32,37
1,100,100,32,33
1,100,100,32,38
1,100,100,32,35
1,100,100,32,37
1,100,100,32,35
1,100,100,32,42
1,100,100,32,34
1,100,100,32,36
1,100,100,32,37
1,100,100,32,39
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,39
1,100,100,32,39
1,100,100,32,33
1,100,100,32,37
1,100,100,32,36
1,100,100,32,34
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,38
1,100,100,32,39
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,37
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,33
1,100,100,32,38
1,100,100,32,33
1,100,100,32,34
1,100,100,32,35
1,100,100,32,33
1,100,100,32,35
1,100,100,32,39
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,34
1,100,100,32,38
1,100,100,32,33
1,100,100,32,34
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,34
1,100,100,32,39
1,100,100,32,34
1,100,100,32,33
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,34
1,100,100,32,37
1,100,100,32,37
1,100,100,32,37
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,37
1,100,100,32,33
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,32
1,100,100,32,37
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,37
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,35
1,100,100,32,35
1,100,100,32,37
1,100,100,32,33
1,100,100,32,36
1,100,100,32,35
1,100,100,32,36
1,100,100,32,37
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,33
1,100,100,32,34
1,100,100,32,39
1,100,100,32,35
1,100,100,32,38
1,100,100,32,39
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,32
1,100,100,32,35
1,100,100,32,33
1,100,100,32,37
1,100,100,32,34
1,100,100,32,37
1,100,100,32,37
1,100,100,32,34
1,100,100,32,37
1,100,100,32,34
1,100,100,32,37
1,100,100,32,33
1,100,100,32,36
1,100,100,32,32
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,46
1,100,100,32,38
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,35
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,35
1,100,100,32,43
1,100,100,32,35
1,100,100,32,36
1,100,100,32,36
1,100,100,32,36
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,39
1,100,100,32,33
1,100,100,32,40
1,100,100,32,36
1,100,100,32,34
1,100,100,32,35
1,100,100,32,40
1,100,100,32,39
1,100,100,32,34
1,100,100,32,39
1,100,100,32,36
1,100,100,32,40
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,34
1,100,100,32,35
1,100,100,32,36
1,100,100,32,35
1,100,100,32,34
1,100,100,32,35
1,100,100,32,38
1,100,100,32,39
1,100,100,32,35
1,100,100,32,35
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,34
1,100,100,32,39
1,100,100,32,38
1,100,100,32,34
1,100,100,32,40
1,100,100,32,43
1,100,100,32,35
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,42
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,38
1,100,100,32,39
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,39
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,34
1,100,100,32,39
1,100,100,32,34
1,100,100,32,39
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,38
1,100,100,32,38
1,100,100,32,39
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,38
1,100,100,32,33
1,100,100,32,35
1,100,100,32,33
1,100,100,32,38
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,39
1,100,100,32,36
1,100,100,32,34
1,100,100,32,40
1,100,100,32,40
1,100,100,32,37
1,100,100,32,39
1,100,100,32,35
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,35
1,100,100,32,35
1,100,100,32,33
1,100,100,32,34
1,100,100,32,34
1,100,100,32,37
1,100,100,32,41
1,100,100,32,37
1,100,100,32,34
1,100,100,32,34
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,38
1,100,100,32,38
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,36
1,100,100,32,36
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,37
1,100,100,32,37
1,100,100,32,34
1,100,100,32,37
1,100,100,32,40
1,100,100,32,40
1,100,100,32,35
1,100,100,32,36
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,37
1,100,100,32,38
1,100,100,32,37
1,100,100,32,37
1,100,100,32,39
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,38
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,32
1,100,100,32,33
1,100,100,32,33
1,100,100,32,42
1,100,100,32,34
1,100,100,32,36
1,100,100,32,37
1,100,100,32,33
1,100,100,32,37
1,100,100,32,34
1,100,100,32,33
1,100,100,32,39
1,100,100,32,39
1,100,100,32,34
1,100,100,32,37
1,100,100,32,34
1,100,100,32,35
1,100,100,32,40
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,39
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,36
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,37
1,100,100,32,35
1,100,100,32,35
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,37
1,100,100,32,38
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,38
1,100,100,32,35
1,100,100,32,32
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,35
1,100,100,32,38
1,100,100,32,39
1,100,100,32,34
1,100,100,32,32
1,100,100,32,35
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,39
1,100,100,32,36
1,100,100,32,37
1,100,100,32,38
1,100,100,32,37
1,100,100,32,33
1,100,100,32,32
1,100,100,32,37
1,100,100,32,33
1,100,100,32,38
1,100,100,32,33
1,100,100,32,37
1,100,100,32,39
1,100,100,32,37
1,100,100,32,39
1,100,100,32,38
1,100,100,32,36
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,38
1,100,100,32,37
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,39
1,100,100,32,36
1,100,100,32,37
1,100,100,32,38
1,100,100,32,36
1,100,100,32,38
1,100,100,32,36
1,100,100,32,36
1,100,100,32,33
1,100,100,32,38
1,100,100,32,40
1,100,100,32,34
1,100,100,32,34
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,39
1,100,100,32,35
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,36
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,39
1,100,100,32,34
1,100,100,32,38
1,100,100,32,36
1,100,100,32,35
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,35
1,100,100,32,33
1,100,100,32,36
1,100,100,32,34
1,100,100,32,39
1,100,100,32,37
1,100,100,32,39
1,100,100,32,37
1,100,100,32,37
1,100,100,32,37
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,39
1,100,100,32,37
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,37
1,100,100,32,38
1,100,100,32,34
1,100,100,32,33
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,35
1,100,100,32,34
1,100,100,32,39
1,100,100,32,35
1,100,100,32,35
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,36
1,100,100,32,36
1,100,100,32,35
1,100,100,32,37
1,100,100,32,39
1,100,100,32,36
1,100,100,32,35
1,100,100,32,36
1,100,100,32,37
1,100,100,32,33
1,100,100,32,38
1,100,100,32,39
1,100,100,32,34
1,100,100,32,38
1,100,100,32,39
1,100,100,32,35
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,35
1,100,100,32,38
1,100,100,32,33
1,100,100,32,37
1,100,100,32,33
1,100,100,32,38
1,100,100,32,33
1,100,100,32,38
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,37
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,32
1,100,100,32,35
1,100,100,32,34
1,100,100,32,33
1,100,100,32,32
1,100,100,32,33
1,100,100,32,32
1,100,100,32,37
1,100,100,32,36
1,100,100,32,37
1,100,100,32,39
1,100,100,32,34
1,100,100,32,39
1,100,100,32,37
1,100,100,32,36
1,100,100,32,39
1,100,100,32,34
1,100,100,32,36
1,100,100,32,35
1,100,100,32,38
1,100,100,32,35
1,100,100,32,35
1,100,100,32,40
1,100,100,32,38
1,100,100,32,35
1,100,100,32,35
1,100,100,32,34
1,100,100,32,34
1,100,100,32,34
1,100,100,32,33
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,33
1,100,100,32,37
1,100,100,32,36
1,100,100,32,36
1,100,100,32,34
1,100,100,32,38
1,100,100,32,37
1,100,100,32,34
1,100,100,32,37
1,100,100,32,34
1,100,100,32,38
1,100,100,32,38
1,100,100,32,37
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,39
1,100,100,32,40
1,100,100,32,39
1,100,100,32,37
1,100,100,32,38
1,100,100,32,33
1,100,100,32,34
1,100,100,32,35
1,100,100,32,34
1,100,100,32,35
1,100,100,32,34
1,100,100,32,35
1,100,100,32,33
1,100,100,32,35
1,100,100,32,41
1,100,100,32,35
1,100,100,32,35
1,100,100,32,33
1,100,100,32,33
1,100,100,32,39
1,100,100,32,33
1,100,100,32,35
1,100,100,32,33
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,35
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,32
1,100,100,32,36
1,100,100,32,35
1,100,100,32,33
1,100,100,32,36
1,100,100,32,37
1,100,100,32,34
1,100,100,32,39
1,100,100,32,34
1,100,100,32,34
1,100,100,32,37
1,100,100,32,36
1,100,100,32,39
1,100,100,32,39
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,36
1,100,100,32,36
1,100,100,32,39
1,100,100,32,34
1,100,100,32,38
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,35
1,100,100,32,34
1,100,100,32,33
1,100,100,32,38
1,100,100,32,34
1,100,100,32,37
1,100,100,32,33
1,100,100,32,34
1,100,100,32,37
1,100,100,32,34
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,38
1,100,100,32,34
1,100,100,32,37
1,100,100,32,38
1,100,100,32,36
1,100,100,32,36
1,100,100,32,34
1,100,100,32,34
1,100,100,32,36
1,100,100,32,36
1,100,100,32,38
1,100,100,32,35
1,100,100,32,37
1,100,100,32,36
1,100,100,32,36
1,100,100,32,36
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,38
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,33
1,100,100,32,34
1,100,100,32,36
1,100,100,32,38
1,100,100,32,37
1,100,100,32,36
1,100,100,32,38
1,100,100,32,37
1,100,100,32,35
1,100,100,32,38
1,100,100,32,36
1,100,100,32,36
1,100,100,32,39
1,100,100,32,37
1,100,100,32,34
1,100,100,32,36
1,100,100,32,35
1,100,100,32,37
1,100,100,32,38
1,100,100,32,34
1,100,100,32,34
1,100,100,32,38
1,100,100,32,34
1,100,100,32,34
1,100,100,32,37
1,100,100,32,34
1,100,100,32,33
1,100,100,32,36
1,100,100,32,37
1,100,100,32,37
1,100,100,32,36
1,100,100,32,40
1,100,100,32,39
1,100,100,32,38
1,100,100,32,34
1,100,100,32,35
1,100,100,32,33
1,100,100,32,35
1,100,100,32,36
1,100,100,32,36
1,100,100,32,35
1,100,100,32,37
1,100,100,32,36
1,100,100,32,36
1,100,100,32,34
1,100,100,32,38
1,100,100,32,39
1,100,100,32,36
1,100,100,32,34
1,100,100,32,37
1,100,100,32,35
1,100,100,32,38
1,100,100,32,35
1,100,100,32,34
1,100,100,32,36
1,100,100,32,33
1,100,100,32,35
1,100,100,32,36
1,100,100,32,37
1,100,100,32,35
1,100,100,32,34
1,100,100,32,35
1,100,100,32,34
1,100,100,32,36
1,100,100,32,38
1,100,100,32,33
1,100,100,32,33
1,100,100,32,33
1,100,100,32,37
1,100,100,32,35
1,100,100,32,38
1,100,100,32,37
1,100,100,32,34
1,100,100,32,36
1,100,100,32,34
1,100,100,32,39
1,100,100,32,36
1,100,100,32,35
1,100,100,32,37
